trigram,text
We host entrepreneurs,"More than a house, we are a startup founders community. We host entrepreneurs, but also engineers and students who want to start their own business. Live, learn and achieve, while getting the full Silicon Valley experience! Our House is professionally cleaned twice a week.  Upon booking, please introduce yourself as well as your startup (or dream) to us, thanks and welcome to our community!"
Silicon Valley experience,"More than a house, we are a startup founders community. We host entrepreneurs, but also engineers and students who want to start their own business. Live, learn and achieve, while getting the full Silicon Valley experience! Our House is professionally cleaned twice a week.  Upon booking, please introduce yourself as well as your startup (or dream) to us, thanks and welcome to our community!"
Fully equipped kitchen,"Our charming Victorian is located in downtown San Francisco, within walking distance to Union Square, Chinatown, and the Theater District. This furnished studio has hardwood floors, a sleigh bed and it faces the back of the building which makes it more quiet. The apartment has a private kitchen, bathroom & internet. This is a great hotel alternative! -Fully equipped kitchen - Wifi - Smart TV - Iron and Ironing board - On-site laundry - Extra linens and blankets"
bathroom essentials provided,"Featured in The New York Times, The Wall Street Journal, and Fast Company, we’ve hosted over 350k guests in 2,500+ spaces with an average rating of 4.6 stars. Each space is designed and run by us, so you’ll always know what to expect from your stay. At Sonder, we’ve combined the best parts of home and hotel. - 24/7 support via text, email, or phone - Coffee, fresh towels, and bathroom essentials provided - Hotel-standard cleaning before you arrive"
We look forward,"Our remodeled apartment building is located in downtown San Francisco, within walking distance to Union Square, Chinatown, and the Financial District. This furnished studio is on the 5th floor on a lively stretch of O'Farrell with plenty of options for restaurants, shopping, and public transportation! All the utilities and internet are included for the first 3 months. This is a great hotel alternative. We look forward to hosting your stay whether for business or pleasure!"
This furnished studio,"Our charming Victorian is located in downtown San Francisco, within walking distance to Union Square, Chinatown, and the Theater District. This furnished studio has hardwood floors, a sleigh bed and it faces the back of the building which makes it more quiet. The apartment has a private kitchen, bathroom & internet. This is a great hotel alternative! -Fully equipped kitchen - Wifi - Smart TV - Iron and Ironing board - On-site laundry - Extra linens and blankets"
full Silicon Valley,"More than a house, we are a startup founders community. We host entrepreneurs, but also engineers and students who want to start their own business. Live, learn and achieve, while getting the full Silicon Valley experience! Our House is professionally cleaned twice a week.  Upon booking, please introduce yourself as well as your startup (or dream) to us, thanks and welcome to our community!"
professionally cleaned twice,"More than a house, we are a startup founders community. We host entrepreneurs, but also engineers and students who want to start their own business. Live, learn and achieve, while getting the full Silicon Valley experience! Our House is professionally cleaned twice a week.  Upon booking, please introduce yourself as well as your startup (or dream) to us, thanks and welcome to our community!"
support via text,"Featured in The New York Times, The Wall Street Journal, and Fast Company, we’ve hosted over 350k guests in 2,500+ spaces with an average rating of 4.6 stars. Each space is designed and run by us, so you’ll always know what to expect from your stay. At Sonder, we’ve combined the best parts of home and hotel. - 24/7 support via text, email, or phone - Coffee, fresh towels, and bathroom essentials provided - Hotel-standard cleaning before you arrive"
startup founders community,"More than a house, we are a startup founders community. We host entrepreneurs, but also engineers and students who want to start their own business. Live, learn and achieve, while getting the full Silicon Valley experience! Our House is professionally cleaned twice a week.  Upon booking, please introduce yourself as well as your startup (or dream) to us, thanks and welcome to our community!"
